,country_name,iso3c,iso2c,world_region,floodpop_ghsl_rural,floodpop_ghsl_semiurban,floodpop_ghsl_urban,floodpop_gridpop3_rural,floodpop_gridpop3_semiurban,floodpop_gridpop3_urban,floodpop_hrsl_rural,floodpop_hrsl_semiurban,floodpop_hrsl_urban,floodpop_ghsl_tot,floodpop_gridpop3_tot,floodpop_hrsl_tot,bias_factor
117,Netherlands,NLD,NL,Europe,19327.15521,47277.21065,263578.8968,0,0,0,13971.90874,41422.1885,296494.9931,330183.2627,263578.8968,351889.0903,1.065738728
118,New Caledonia,NCL,NC,Oceania,0,0,0,0,0,0,0,0,0,0,0,0,NA
119,New Zealand,NZL,NZ,Oceania,4985.59044,8009.22319,18231.23984,0,0,0,4408.798942,8961.364041,20463.35875,31226.05347,18231.23984,33833.52173,1.083502972
120,Nicaragua,NIC,NU,Central America,26675.14152,24747.72716,0,0,0,0,4661.351109,1739.479102,0,51422.86868,0,6400.830211,0.12447439
121,Niger,NER,NG,Africa,6181.737632,7646.629462,915.7173389,0,0,0,2473.147206,483.1092805,183.3983216,14744.08443,915.7173389,3139.654808,0.212943355
122,Nigeria,NGA,NI,Africa,501911.4839,1837001.952,488704.5048,179698.4618,60411.02928,11690.32651,222591.2675,83834.9215,28479.75612,2827617.941,728813.9959,334905.9451,0.118441017
123,Northern Mariana Is,MNP,CQ,Oceania,0,0,0,0,0,0,0,0,0,0,0,0,NA
124,Oman,OMN,MU,SW Asia,66.90890214,16448.41761,734.6763548,0,0,0,2221.677442,1700.155468,38.86788255,17250.00287,734.6763548,3960.700793,0.229605805
125,Palau,PLW,PS,Oceania,0,0,0,0,0,0,0,0,0,0,0,0,NA
126,Panama,PAN,PM,Central America,5857.220527,475.3535867,0,0,0,0,2229.44828,1152.286382,2351.126765,6332.574114,0,5732.861427,0.90529717
127,Papua New Guinea,PNG,PP,Oceania,6920.557661,16138.70032,0,0,0,0,6243.679029,0,0,23059.25798,0,6243.679029,0.270766693
128,Paraguay,PRY,PA,South America,49721.1153,26258.23024,31318.88501,0,0,0,22202.23882,8320.040083,18032.42107,107298.2306,31318.88501,48554.69997,0.452520976
129,Peru,PER,PE,South America,44557.39357,27601.73184,10196.612,0,0,0,19523.19305,2316.238844,5559.595278,82355.73741,10196.612,27399.02717,0.332691177
130,Philippines,PHL,RP,SE Asia,480590.0129,1949529.96,1519841.274,0,0,0,751896.7417,1256030.533,1326065.211,3949961.247,1519841.274,3333992.486,0.844057012
