system:index,CLOUD_COVER,DELTA,DFO_ID,LANDSAT_5,LANDSAT_7,LANDSAT_8,LANDSAT_ALL,X,Y,.geo
DFO_2458_From_20040319_to_20040327,20,1,2458.0,0,1,0,1,143.2228973254697,-14.921266221575651,
DFO_2460_From_20040323_to_20040403,20,1,2460.0,0,0,0,0,16.945617389309955,46.36634066288777,
DFO_2461_From_20040327_to_20040403,20,1,2461.0,2,0,0,2,121.04381530416947,-21.66590269668718,
DFO_2462_From_20040328_to_20040411,20,1,2462.0,0,0,0,0,-98.3908031904023,49.485364657889505,
DFO_2463_From_20040330_to_20040505,20,1,2463.0,2,0,0,2,32.316809204194094,54.93660044767474,
DFO_2469_From_20040412_to_20040502,20,1,2469.0,0,0,0,0,18.375714390904946,46.21931458997631,
DFO_2471_From_20040414_to_20040516,20,1,2471.0,0,0,0,0,83.74133240736857,54.33887296808885,
DFO_2473_From_20040414_to_20040503,20,1,2473.0,0,0,0,0,93.41032139131443,22.49989260468901,
DFO_2476_From_20040424_to_20040502,20,1,2476.0,2,0,0,2,-101.11373207906284,40.56039620128613,
DFO_2480_From_20040507_to_20040511,20,1,2480.0,0,0,0,0,119.15038402180086,0.43270511420796764,
DFO_2482_From_20040513_to_20040515,20,1,2482.0,0,0,0,0,-99.206627542192,31.77996562956851,
DFO_2491_From_20040603_to_20041011,20,1,2491.0,0,0,0,0,-120.54155951348609,38.540915750534246,
DFO_2495_From_20040608_to_20041001,20,1,2495.0,0,0,0,0,-67.81831630678653,7.131245446589534,
DFO_2498_From_20040610_to_20040621,20,1,2498.0,0,0,0,0,-90.59144068778583,43.18909240820671,
DFO_2507_From_20040620_to_20041007,20,1,2507.0,0,1,0,1,86.80739397487936,24.229637210655866,
DFO_2510_From_20040624_to_20040720,20,1,2510.0,0,0,0,0,-87.71260482542841,16.169995021394016,
DFO_2514_From_20040628_to_20040630,20,1,2514.0,0,0,0,0,121.89025046398336,12.064047356711951,
DFO_2515_From_20040628_to_20040630,20,1,2515.0,0,0,0,0,101.84240983025684,30.245977434164775,
DFO_2516_From_20040629_to_20040713,20,1,2516.0,0,0,0,0,123.46901766067298,22.655281888198505,
DFO_2519_From_20040705_to_20040811,20,1,2519.0,0,0,0,0,83.97056924402665,27.03192782996974,
DFO_2522_From_20040714_to_20040727,20,1,2522.0,0,1,0,1,108.48739551871216,23.537492536772863,
DFO_2527_From_20040717_to_20040730,20,1,2527.0,0,0,0,0,110.76342405111919,27.489065218202605,
DFO_2539_From_20040731_to_20040813,20,1,2539.0,0,0,0,0,121.89025046398336,12.064047356711951,
DFO_2543_From_20040806_to_20041003,20,1,2543.0,0,3,0,3,99.10100704465981,20.892211846962883,
DFO_2554_From_20040824_to_20040912,20,1,2554.0,0,0,0,0,121.89015513158073,15.28846032477614,
DFO_2555_From_20040824_to_20041021,20,1,2555.0,0,0,0,0,103.77348249345629,15.077585956096483,
DFO_2565_From_20040915_to_20040919,20,1,2565.0,0,0,0,0,-91.62924418735663,43.16991860380763,
DFO_2566_From_20040915_to_20041001,20,1,2566.0,0,0,0,0,-73.0975876196851,25.076234805011,
DFO_2570_From_20041007_to_20041018,20,1,2570.0,4,0,0,4,83.96989516836256,25.92024105418647,
