iso2c,country,fpop_rate,pop2000,pop_2000_all_rural,pop_2000_all_semiurban,pop_2000_all_urban,pop2000_flood,pop_2000_flood_rural,pop_2000_flood_semiurban,pop_2000_flood_urban,pop_2000_nonflood_rural,pop_2000_nonflood_semiurban,pop_2000_nonflood_urban,popdelta,pop_delta_all_rural,pop_delta_all_semiurban,pop_delta_all_urban,pdelta_flood,pop_delta_flood_rural,pop_delta_flood_semiurban,pop_delta_flood_urban,pop_delta_nonflood_rural,pop_delta_nonflood_semiurban,pop_delta_nonflood_urban,region,iso3c,bias_factor,hrsl_data,region_mean_bias,region_sd_bias
TD,Trinidad & Tobago,0,1269202.158,147548.466,493237.0278,628416.6648,0,0,0,0,147548.466,493237.0278,628416.6648,90653.57548,20843.29728,56378.53762,13431.74058,0,0,0,0,20843.29728,56378.53762,13431.74058,Caribbean,TTO,0.644974975,N,0.644974975,0.57296489
GJ,Grenada,0,95318.19105,37645.65798,57672.53307,0,0,0,0,0,37645.65798,57672.53307,0,5132.816638,1425.552394,3707.264244,0,0,0,0,0,1425.552394,3707.264244,0,Caribbean,GRD,0.644974975,N,0.644974975,0.57296489
MB,Martinique,0,356991.9175,86117.72979,158606.7172,112267.4705,0,0,0,0,86117.72979,158606.7172,112267.4705,8975.363924,1887.564665,18821.93007,-11734.13081,0,0,0,0,1887.564665,18821.93007,-11734.13081,Caribbean,MTQ,0.644974975,N,0.644974975,0.57296489
ST,Saint Lucia,0,154697.4475,34791.07929,119906.3682,0,0,0,0,0,34791.07929,119906.3682,0,28245.08628,8117.475766,20127.61051,0,0,0,0,0,8117.475766,20127.61051,0,Caribbean,LCA,0.644974975,N,0.644974975,0.57296489
VC,St Vincent & the Grenadines,0,93036.12444,23074.6082,69961.51624,0,0,0,0,0,23074.6082,69961.51624,0,2226.240422,1535.029666,691.2107557,0,0,0,0,0,1535.029666,691.2107557,0,Caribbean,VCT,0.644974975,N,0.644974975,0.57296489
BB,Barbados,0,274170.9365,43150.7287,85636.46149,145383.7463,0,0,0,0,43150.7287,85636.46149,145383.7463,14972.79369,2720.161086,17952.26917,-5699.636567,0,0,0,0,2720.161086,17952.26917,-5699.636567,Caribbean,BRB,0.644974975,N,0.644974975,0.57296489
UC,Curacao,0,121903.592,14619.78726,107283.8048,0,0,0,0,0,14619.78726,107283.8048,0,26313.37732,1694.381105,24618.99622,0,0,0,0,0,1694.381105,24618.99622,0,Caribbean,CUW,0.644974975,N,0.644974975,0.57296489
AA,Aruba,0,87100.78166,5615.794917,81484.98674,0,0,0,0,0,5615.794917,81484.98674,0,12137.2892,709.0921377,11428.19707,0,0,0,0,0,709.0921377,11428.19707,0,Caribbean,ABW,0.644974975,N,0.644974975,0.57296489
DR,Dominican Republic,0,9043925.278,1299190.22,2547131.619,5197603.439,0,0,0,0,1299190.22,2547131.619,5197603.439,2076872.066,145943.378,384055.6465,1546873.041,0,0,0,0,145943.378,384055.6465,1546873.041,Caribbean,DOM,0.508500958,Y,0.644974975,0.57296489
HA,Haiti,0,8677295.049,1545458.36,3688823.039,3443013.65,0,0,0,0,1545458.36,3688823.039,3443013.65,2209211.953,-123300.609,854084.9133,1478427.649,0,0,0,0,-123300.609,854084.9133,1478427.649,Caribbean,HTI,0.432644331,Y,0.644974975,0.57296489
